DATA,GRUPO,TIPO,ETAPA,TOTAL_IMPRESSOES,TOTAL_CLIQUES,TOTAL_CUSTO,TOTAL_SESSAO,TOTAL_INSCRICOES,TOTAL_MATRICULADOS,LEADS,CTR,CR,CPS,TX_LEADS,TX_INSCRITOS,CPI,TX_MATRICULADOS,CPMAT,CPA
2025-01-30,TIKTOK,TIKTOK,FUNDO,1283564,13575,9414.490000000002,8044,4,1,32,0.010576021141135152,0.5925598526703499,1.1703741919443065,0.003978120338140228,0.0004972650422675286,2353.6225000000004,0.25,9414.490000000002,261.5136111111112
2025-01-30,SEARCH,CURSOS,FUNDO,322466,19277,104008.65596799998,17470,393,47,1913,0.05977994579273474,0.9062613477200809,5.953557868803662,0.10950200343445907,0.02249570692615913,264.6530686208651,0.11959287531806616,2212.950126978723,45.103493481352984
2025-01-30,SEARCH,SEARCH,MEIO,71707,4948,9096.241583,3145,10,1,83,0.06900302620385737,0.6356103476151981,2.8922866718600955,0.026391096979332274,0.003179650238473768,909.6241583000001,0.1,9096.241583,1.8383673369037996
2025-01-30,SEARCH,OPORTUNIDADES,FUNDO,63456,3090,10991.197081,3888,85,3,485,0.048695158850226926,1.258252427184466,2.8269539817386833,0.12474279835390946,0.021862139917695474,129.30820095294118,0.03529411764705882,3663.7323603333334,19.28280189649123
2025-01-30,PMAX,PMAX,FUNDO,8315553,342697,218966.094722,137490,544,8,2650,0.04121157065561364,0.4011998937837215,1.5925965140882974,0.01927412902756564,0.003956651392828569,402.51120353308823,0.014705882352941176,27370.76184025,68.55544606199123
2025-01-30,META,META,FUNDO,19602984,89799,246006.24999599997,37304,437,11,2347,0.004580884216402972,0.4154166527466898,6.594634623525627,0.06291550503967402,0.011714561441132318,562.9433638352402,0.02517162471395881,22364.204545090906,88.36431393534481
2025-01-30,SEARCH,GENERICA,FUNDO,142254,9112,35272.67522599999,9361,179,23,979,0.0640544378365459,1.0273266022827041,3.768045638927464,0.1045828437132785,0.019121888687106077,197.05405154189938,0.12849162011173185,1533.594575043478,30.459995877374777
2025-01-30,SEARCH,DV360,MEIO,8358082,381063,34485.49037800001,6244,0,0,0,0.04559215858375163,0.016385741990169605,5.522980521780911,0.0,0.0,,,,0.09049813384663431
2025-01-29,META,META,FUNDO,21581370,99448,284448.550002,38562,478,8,2544,0.004608048515919054,0.38776043761563833,7.376395155904777,0.06597168196670297,0.012395622633680825,595.080648539749,0.016736401673640166,35556.06875025,94.1259265393779
2025-01-29,SEARCH,OPORTUNIDADES,FUNDO,79402,3912,13934.325649999999,4067,79,3,499,0.0492682803959598,1.0396216768916156,3.4261926850258173,0.1226948610769609,0.01942463732480944,176.38386898734177,0.0379746835443038,4644.775216666666,24.107829844290656
2025-01-29,SEARCH,MARCAS,FUNDO,100434,37233,66801.87833899999,36162,1056,11,5360,0.37072107055379655,0.9712351945854484,1.8472949045683311,0.14822189038216912,0.029201924672307946,63.259354487689386,0.010416666666666666,6072.898030818181,10.411764080268078
