,DATA,GRUPO,TIPO,ETAPA,TOTAL_IMPRESSOES,TOTAL_CLIQUES,TOTAL_CUSTO,TOTAL_SESSAO,TOTAL_INSCRICOES,TOTAL_MATRICULADOS,LEADS,CTR,CR,CPS,TX_LEADS,TX_INSCRITOS,CPI,TX_MATRICULADOS,CPMAT,CPA
451,2025-01-11,SEARCH,OPORTUNIDADES,FUNDO,25009,917,5349.361813,1293,26,2,120,0.03666679995201727,1.4100327153762269,4.137170775715391,0.09280742459396751,0.020108275328692964,205.74468511538464,0.07692307692307693,2674.6809065,36.63946447260274
453,2025-01-11,DEMAND GEN,DEMAND GEN,FUNDO,2280921,24594,35051.770094,8065,14,1,62,0.010782486548196978,0.3279255102870619,4.346158722132672,0.0076875387476751395,0.001735895846249225,2503.6978638571427,0.07142857142857142,35051.770094,461.2075012368421
455,2025-01-11,SEARCH,MARCAS,FUNDO,37288,14816,23387.021953999996,15666,525,9,2382,0.3973396266895516,1.0573704103671706,1.4928521609855736,0.1520490233626963,0.03351206434316354,44.54670848380952,0.017142857142857144,2598.5579948888885,8.045071191606466
459,2025-01-11,META,META,FUNDO,29228851,129635,388507.5500040001,53440,685,7,2707,0.004435172631315545,0.4122343502912022,7.269976609356289,0.05065494011976048,0.01281811377245509,567.1643065751826,0.010218978102189781,55501.07857200001,114.53642393985851
462,2025-01-11,TIKTOK,TIKTOK,FUNDO,17413894,62923,101070.94000000003,51995,23,2,121,0.003613379063867048,0.8263274160481858,1.9438588325800563,0.002327146841042408,0.0004423502259832676,4394.388695652176,0.08695652173913043,50535.470000000016,701.881527777778
463,2025-01-11,SEARCH,GENERICA,FUNDO,106656,5493,20759.778782999994,5607,108,12,509,0.05150202520252025,1.0207536865101037,3.702475260032102,0.09077938291421438,0.019261637239165328,192.22017391666662,0.1111111111111111,1729.9815652499994,33.64631893517017
464,2025-01-10,DEMAND GEN,DEMAND GEN,FUNDO,2187665,17053,35983.84944400001,5843,17,1,117,0.007795069171925318,0.3426376590629215,6.158454465856582,0.02002396029436933,0.0029094643162758858,2116.6970261176475,0.058823529411764705,35983.84944400001,268.5361898805971
465,2025-01-10,TIKTOK,TIKTOK,FUNDO,13542104,57044,84110.12,46636,21,2,113,0.004212343960731656,0.8175443517284903,1.8035449009349,0.002423020842267776,0.00045029590874002916,4005.2438095238094,0.09523809523809523,42055.06,627.6874626865671
469,2025-01-10,DEMAND GEN,DEMAND GEN,MEIO,32116904,885383,65357.107654,299734,14,1,61,0.027567507752303894,0.3385359782150775,0.2180503635023054,0.00020351378222023528,4.67080811652999e-05,4668.364832428571,0.07142857142857142,65357.107654,0.0738178931084062
470,2025-01-10,SEARCH,MICROSOFT,FUNDO,1024726,10104,27094.039999999994,7757,131,8,614,0.009860196774552417,0.7677157561361837,3.492850328735335,0.07915431223411112,0.01688797215418332,206.82473282442743,0.061068702290076333,3386.754999999999,36.367838926174485
